collegeName,aliasName,state,city,photo,rank,ACT,aidPercent,acceptance,tuition,gpa,enrollment,SAT,costAfterAid,type,academicCalendar,setting,website
Memphis College of Art,,TN,Memphis,,Unranked,,,,,,,,,Private,Semester,Urban,http://www.mca.edu
Capitol Technology University,,MD,Laurel,,Unranked,,,,,,,,,Private,N/A,N/A,//www.captechu.edu/
Claflin University,,SC,Orangeburg,https://www.usnews.com/dims4/USNEWS/99a6984/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F07%2F538d7f3ff50a9e62723a3fc284983e%2Fcollege-photo_20881.jpg,#9,18,,56,16722,3.2,2080,860,,Private,Semester,City,http://www.claflin.edu
Five Towns College,,NY,Dix Hills,,#36-#46,,,91,,,,,,Proprietary,Semester,Suburban,http://www.ftc.edu
University of Hartford,,CT,West Hartford,,#211,22,,75,42182,,5000,1050,,Private,Semester,Suburban,http://www.hartford.edu
Scripps College,,CA,Claremont,https://www.usnews.com/dims4/USNEWS/6433d3a/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F46%2F3805055c437d5991aea67fc1c2d546%2Fcollege-photo_17227.jpg,#33,30,37,24,57188,4,1048,1300,34706,Private,Semester,Suburban,http://www.scrippscollege.edu/
University of Regina,,,"Regina, Saskatchewan",,Unranked,,,,,,,,,Public,N/A,N/A,//www.uregina.ca
St. Joseph Seminary College,St Joseph Seminary College Saint Joseph Seminary College,LA,St. Benedict,,Unranked,,,,,,,,,Private,N/A,N/A,//www.sjasc.edu
Embry-Riddle Aeronautical University--Prescott,Embry-Riddle Aeronautical University Prescott,AZ,Prescott,https://www.usnews.com/dims4/USNEWS/35f4c34/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F1a%2F1a28ed986049a6019efd61eff11505%2Fcollege-photo_18686.jpg,Unranked,23,,67,36708,3.7,2726,1140,,Private,Semester,Rural,https://prescott.erau.edu/index.html
Worcester Polytechnic Institute,WPI,MA,Worcester,https://www.usnews.com/dims4/USNEWS/e647ad0/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F9b%2F18766e26dfae548c231e4f11891a2c%2FWPI_photo_1.jpg,#64,29,59,42,52322,3.9,4668,1300,42197,Private,Semester,City,https://www.wpi.edu/admissions/undergraduate
Herzing University,,WI,Madison,https://www.usnews.com/dims4/USNEWS/306d0fe/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F12%2Fdc971f40484722515acb2b1624ff80%2Fcollege-photo_32785.jpg,#117-#153,,,83,,,,,,Private,Semester,City,http://www.herzing.edu/
University of Maine--Farmington,UMaine--Farmington University of Maine Farmington,ME,Farmington,https://www.usnews.com/dims4/USNEWS/98e67b5/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fe8%2Fb803cb75b0407feda2393792f52328%2Fcollege-photo_21016.jpg,#8,20,69,81,19514,3.1,1736,970,21419,Public,Semester,Rural,http://www.farmington.edu
Southwest Baptist University,,MO,Bolivar,https://www.usnews.com/dims4/USNEWS/fbceffc/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F5e%2F356098c6797f733b83742364504e56%2Fcollege-photo_5453.jpg,#117-#153,19,,71,24510,3.5,2663,996,,Private,4/1/2004,Rural,http://www.sbuniv.edu
American Academy of Art,,IL,Chicago,,Unranked,,,,,,,,,Proprietary,N/A,N/A,//www.aaart.edu
St. Mary  of Maryland,St Mary  of Maryland Saint Mary  of Maryland St Marys College of Maryland Saint Marys College of Maryland St. Marys College of Maryland,MD,St. Marys City,https://www.usnews.com/dims4/USNEWS/5d4b9e9/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fd2%2F1495dfdec7e400cf68e5f1755b3192%2Fcollege-photo_25866.jpg,#92,23,46,80,31200,3.4,1572,1060,38713,Public,Semester,Rural,http://www.smcm.edu
Colorado Mountain College,,CO,Glenwood Springs,,Unranked,,,,11172,,5174,,,Public,Semester,N/A,hi
Welch College,,TN,Gallatin,https://www.usnews.com/dims4/USNEWS/d6bdd7e/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fcb%2F4680a76489d92e0c973e588889a6e4%2Fcollege-photo_33472.jpg,#16,19,66,79,19582,3.5,376,1000,27895,Private,Semester,Suburban,//www.welch.edu
Wake Forest University,,NC,Winston-Salem,https://www.usnews.com/dims4/USNEWS/786c4b0/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F96%2F20796e235018f451de8f0451e43f33%2Fcollege-photo_11989.jpg,#27,29,29,29,55440,,5225,1310,25847,Private,Semester,Suburban,http://www.wfu.edu
Columbia College Chicago,,IL,Chicago,,#105,20,,87,27756,3.3,6568,1000,,Private,Semester,Urban,//www.colum.edu
Hawaii Pacific University,HPU,HI,Honolulu,https://www.usnews.com/dims4/USNEWS/55aa4e0/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F9b%2F9e2470f61e624510265d9964fe7db4%2Fcollege-photo_32576.jpg,#60,19,,75,27350,3.6,3545,1020,,Private,Semester,Urban,https://www.hpu.edu/
Troy University,,AL,Troy,https://www.usnews.com/dims4/USNEWS/21f17d5/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Ffe%2Fbb496c2bcbb6211f625e5e51988ef5%2Fcollege-photo_35911.jpg,#65,18,,88,20860,3.4,13452,960,,Public,Semester,Rural,https://www.troy.edu/
University of St. Katherine,,CA,,,Unranked,,,,,,,,,Private,N/A,N/A,hi
Millikin University,,IL,Decatur,https://www.usnews.com/dims4/USNEWS/5eef7f5/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F7b%2F673e604b5dc18f4a3855b2fcb70361%2Fcollege-photo_14086.jpg,#10,20,68,61,37054,3.4,1985,960,39923,Private,Semester,City,https://millikin.edu
Crown College,,MN,St. Bonifacius,,#117-#153,18,,51,26200,,,830,,Private,Semester,Rural,http://www.crown.edu
Mid-Atlantic Christian University,Mid Atlantic Christian University,NC,Elizabeth City,,Unranked,,,,,,,,,Private,Semester,City,http://www.macuniversity.edu
Palo Alto University,,CA,Palo Alto,,Unranked,,,,,,,,,Private,N/A,N/A,hi
University of Colorado--Colorado Springs,UCCS University of Colorado Colorado Springs,CO,Colorado Springs,https://www.usnews.com/dims4/USNEWS/8bcc166/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F1d%2Fa32236987b092b422232ec8ad297d3%2Fcollege-photo_24979.jpg,#293-#381,20,,91,25593,3.4,10743,1010,,Public,Semester,Urban,https://www.uccs.edu
Otis College of Art and Design,,CA,Los Angeles,,Unranked,20,,94,45200,3.2,1086,1050,,Private,Semester,Urban,//www.otis.edu
Bloomfield College,,NJ,Bloomfield,https://www.usnews.com/dims4/USNEWS/f24ce6b/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fda%2F28a2020b3f95c6b96b6e09e373d7c4%2Fcollege-photo_22848.jpg,#164-#215,14,,64,29550,,,840,,Private,Semester,Suburban,http://www.bloomfield.edu
LeMoyne-Owen College,LeMoyne Owen College,TN,Memphis,https://www.usnews.com/dims4/USNEWS/f8e63e1/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fd1%2F43b44b53a88137d1cfc653c10a45c1%2Fcollege-photo_10981.jpg,#65-#84,15,,93,11216,,885,400,,Private,Semester,Urban,http://www.loc.edu/
Allen University,,SC,Columbia,,#164-#215,,,,,,,,,Private,Semester,City,http://www.allenuniversity.edu
Pennsylvania College of Health Sciences,,PA,Lancaster,,Unranked,,,,,,,,,Private,N/A,N/A,hi
Binghamton University--SUNY,Binghamton University SUNY Binghamton Binghamton University SUNY,NY,Binghamton,https://www.usnews.com/dims4/USNEWS/7600b3f/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F4b%2Fe2c046fb1c3ae257f28abef818079c%2Fcollege-photo_21371.jpg,#79,28,63,40,27791,4,14021,1310,30956,Public,Semester,Suburban,http://www.binghamton.edu
University of Alaska--Anchorage,University of Alaska Anchorage,AK,Anchorage,,#62,18,,81,25068,3.1,14004,1035,,Public,Semester,City,http://www.uaa.alaska.edu
Eastern Michigan University,EMU,MI,Ypsilanti,https://www.usnews.com/dims4/USNEWS/44582bb/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Ff3%2Fb52e63844c3f3134aa0bc8a271ce63%2Fcollege-photo_8463.jpg,#293-#381,19,,76,12940,3.3,15730,970,,Public,Semester,City,http://www.emich.edu/
Chadron State College,,NE,Chadron,https://www.usnews.com/dims4/USNEWS/4a68157/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F7a%2Fa9d78057d9790a4fea82313487e4c1%2Fcollege-photo_6995.jpg,Unranked,,,,,,,,,Public,N/A,N/A,//www.csc.edu
Villanova University,,PA,Villanova,https://www.usnews.com/dims4/USNEWS/95da060/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fac%2Fc5781ac26261fc6a4d9fa9a8477ddd%2Fcollege-photo_35418.jpg,#46,30,43,29,55430,3.9,6917,1300,35649,Private,Semester,Suburban,http://www.villanova.edu
Cleveland Institute of Music,,OH,Cleveland,,Unranked,,,37,41487,,231,,,Private,Semester,Urban,http://www.cim.edu/
University of Cincinnati,,OH,Cincinnati,https://www.usnews.com/dims4/USNEWS/8f8aab9/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F66%2F6035914dbead0a6776e6610cca02b0%2Fcollege-photo_32541.jpg,#139,24,24,73,26994,3.7,26932,1160,35424,Public,Semester,Urban,http://www.uc.edu
Capella University,,MN,Minneapolis,,Unranked,,,,,,,,,Proprietary,N/A,N/A,//www.capella.edu
Clarke University,,IA,Dubuque,https://www.usnews.com/dims4/USNEWS/3ce2abb/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fc0%2Fdc7175e372653ac34ec3efb4064b70%2F_MG_9583_lowres.jpg,#218,19,,82,34670,3.4,744,930,,Private,Semester,Urban,https://www.clarke.edu
Rhode Island School of Design,RISD,RI,Providence,https://www.usnews.com/dims4/USNEWS/1b781ab/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F63%2F085f348ca228b5cf87305851373772%2Fcollege-photo_24834.jpg,Unranked,26,,24,52860,3.6,1994,1180,,Private,4/1/2004,Urban,http://www.risd.edu
Muskingum University,,OH,New Concord,https://www.usnews.com/dims4/USNEWS/6df135d/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F55%2F9048588793943b26875a29ba0b03bd%2Fcollege-photo_24590.jpg,#46,19,84,72,29128,3.3,1616,976,21014,Private,Semester,Rural,http://www.muskingum.edu
Newman University,,KS,Wichita,https://www.usnews.com/dims4/USNEWS/87d20a3/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F57%2F0db34f723e08854cbee4cd1eaad286%2Fcollege-photo_23199.jpg,#105,19,,63,31774,3.6,2764,1016,,Private,Semester,City,http://www.wabash.edu
Colorado Christian University,,CO,Lakewood,,#87-#113,,,,,,,,,Private,N/A,N/A,http://www.ccu.edu
Skagit Valley College,,WA,Mount Vernon,,Unranked,,,,,,,,,Public,N/A,N/A,//www.pucpr.edu/arecibo
Whitman College,,WA,Walla Walla,https://www.usnews.com/dims4/USNEWS/68e9794/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F6d%2Faf1629b740ff38b5c60ed2560754f0%2Fcollege-photo_2029.jpg,#46,29,45,50,53820,3.7,1475,1280,28769,Private,Semester,Rural,http://www.whitman.edu
Alma College,,MI,Alma,https://www.usnews.com/dims4/USNEWS/669fd89/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F60%2F560d8a53b31200b4a6361268c40ada%2Fcollege-photo_4756.jpg,#8,20,84,64,41398,3.6,1433,1040,24941,Private,4/4/2001,City,http://www.alma.edu
University of Wisconsin--River Falls,University of Wisconsin River Falls,WI,River Falls,https://www.usnews.com/dims4/USNEWS/c04eae0/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fa8%2F1a6ac59d07282ceec11901b81bca8f%2Fcollege-photo_33731.jpg,#84,20,,75,15598,3.4,5725,1010,,Public,Semester,Suburban,https://www.uwrf.edu
New Jersey City University,,NJ,Jersey City,https://www.usnews.com/dims4/USNEWS/09c8487/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Ff2%2F0fbc96c0eae91e1cf043d3c589f46f%2Fcollege-photo_28762.jpg,#129-#170,,,96,22220,2.9,6237,850,,Public,Semester,Urban,http://www.njcu.edu/
United States University,,CA,Chula Vista,,Unranked,,,,,,,,,Proprietary,N/A,N/A,hi
Oakland City University,,IN,Oakland City,https://www.usnews.com/dims4/USNEWS/8645b41/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F31%2F5dd8532e7c713c597f701cfe206c15%2Fcollege-photo_7477.jpg,#36,16,,50,24300,3.3,1231,912,,Private,Semester,Rural,http://www.oak.edu
University of Mary Hardin-Baylor,University of Mary Hardin Baylor,TX,Belton,https://www.usnews.com/dims4/USNEWS/7229896/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F19%2F7c0ba3dd7d2844f3f98fc3d22eb8e4%2Fcollege-photo_976.jpg,#43,20,80,87,29800,3.5,3397,1030,27195,Private,Semester,Suburban,http://www.umhb.edu
Philander Smith College,,AR,Little Rock,,#41,15,,41,13014,3,1000,750,,Private,Semester,Urban,http://www.philander.edu
University of Denver,DU,CO,Denver,https://www.usnews.com/dims4/USNEWS/f135c2b/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F1e%2Ff8ff330b160754cc1e35e1d1352da0%2Fcollege-photo_7142.jpg,#97,26,41,56,52515,3.7,5801,1170,32604,Private,Quarter,City,http://www.du.edu
Xavier University,,OH,Cincinnati,https://www.usnews.com/dims4/USNEWS/92c9a95/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fcf%2F437b343d16f1a68431466b2af0bb06%2Fcollege-photo_35813.jpg,#5,22,34,74,40450,3.5,4997,1070,33344,Private,Semester,Urban,http://www.xavier.edu
Bethune-Cookman University,Bethune Cookman University,FL,Daytona Beach,,#164-#215,15,,79,14814,3.1,3620,850,,Private,Semester,Urban,http://www.bethune.cookman.edu
Western Colorado University,,CO,Gunnison,https://www.usnews.com/dims4/USNEWS/fc70cda/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F1b%2Ffe2587b6e1b3a0c717b9ec072a784c%2Fcollege-photo_34180.jpg,#66,19,,89,21909,3.2,2612,1000,,Public,Semester,Rural,http://www.western.edu
Tennessee State University,,TN,Nashville,,#293-#381,17,,52,20607,3.1,6121,880,,Public,Semester,Urban,http://www.tnstate.edu
University of Illinois--Chicago,UIC University of Illinois Chicago,IL,Chicago,https://www.usnews.com/dims4/USNEWS/ae9d3f7/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fe9%2F6d907501915ba1862cb6beb9b68690%2Fcollege-photo_9965.jpg,#132,21,23,76,27672,3.4,20783,1020,39036,Public,Semester,Urban,http://www.uic.edu
Hardin-Simmons University,Hardin Simmons University,TX,Abilene,https://www.usnews.com/dims4/USNEWS/310af50/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F8c%2Fe2dd74450f179236484ec5d937a53c%2Fcollege-photo_28721.jpg,#41,18,62,84,30140,3.5,1765,1000,33958,Private,Semester,City,http://www.hsutx.edu/
University of South Carolina--Beaufort,University of South Carolina Beaufort,SC,Bluffton,,#164-#215,17,,64,,,,930,,Public,Semester,Suburban,http://www.uscb.edu
St. Olaf College,St Olaf College Saint Olaf College,MN,Northfield,https://www.usnews.com/dims4/USNEWS/c068bb6/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F12%2F16fd2220a2186c16bce2cf8bf11039%2Fcollege-photo_5228.jpg,#62,25,75,50,49710,3.7,3048,1190,25754,Private,4/1/2004,Rural,http://wp.stolaf.edu/
Calvary University,,MO,Kansas City,,Unranked,,,,,,,,,Private,Continuous,Suburban,http://www.calvary.edu
Art Institute of Pittsburgh,,PA,Pittsburgh,,Unranked,,,,,,,,,Proprietary,N/A,N/A,//www.artinstitutes.edu/pittsburgh/Admissions
Franklin and Marshall College,F&M Franklin & Marshall,PA,Lancaster,https://www.usnews.com/dims4/USNEWS/e42d30f/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F15%2F2f4e1c6c25b5fc53bc630307a309cd%2Fcollege-photo_80.jpg,#38,28,54,35,58795,,2309,1260,25686,Private,Semester,City,http://www.fandm.edu
University of the Virgin Islands,,VI,St. Thomas,,Unranked,15,,95,14496,2.9,1734,815,,,,,hi
Bates College,,ME,Lewiston,https://www.usnews.com/dims4/USNEWS/139956f/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F5a%2F823ab6e80f484d8a42ae2688ad60eb%2Fcollege-photo_28075.jpg,#21,29,42,18,55683,,1832,1290,26578,Private,4/4/2001,City,http://www.bates.edu
University of the Sacred Heart,,PR,Santurce,,Unranked,,,,5343,3.3,4239,,,Private,Semester,City,//www.sagrado.edu/
Florida Keys Community College,,FL,Key West,,Unranked,,,,,,,,,Public,N/A,N/A,//www.fkcc.edu
Naropa University,,CO,Boulder,,Unranked,,,100,31790,,,,,Private,Semester,City,http://www.naropa.edu
Inter American University of Puerto Rico--San German,Inter American University of Puerto Rico San German Inter American University of Puerto Rico San German,PR,San German,,Unranked,,,45,,3.1,3787,,,Private,Semester,Urban,http://www.sg.inter.edu/
Franklin University,,OH,Columbus,,Unranked,,,,,,,,,Private,N/A,N/A,//www.franklin.edu
American College of Thessaloniki,,,,,Unranked,,,,,,,,,Private,Trimester,Suburban,//www.act.edu
Rockford University,,IL,Rockford,https://www.usnews.com/dims4/USNEWS/08f7bc3/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fcf%2F19cccfdc60a5aea08c05243d762b97%2Fcollege-photo_4238.jpg,#102,19,,49,32100,3.3,1002,990,,Private,Semester,City,http://www.rockford.edu
Lake-Sumter State College,,FL,Leesburg,,Unranked,,,100,19128,,4814,,,Public,Semester,Suburban,https://www.lssc.edu/future-students/admissions/
Skyline College,,CA,San Bruno,,Unranked,,,,,,,,,Public,N/A,N/A,//skylinecollege.edu
Nebraska Wesleyan University,,NE,Lincoln,https://www.usnews.com/dims4/USNEWS/716a755/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F37%2F37ed84bf9bdce720fa3598977e8f26%2Fcollege-photo_32907.jpg,#11,21,74,72,35444,3.8,1849,1010,28823,Private,Semester,City,https://www.nebrwesleyan.edu/
College of Saint Rose,College of St Rose College of Saint Rose,NY,Albany,https://www.usnews.com/dims4/USNEWS/26083bc/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F98%2F47f234a598c26ad4be3ff5e6b4cf4f%2Fcollege-photo_26748.jpg,#86,20,,87,33386,3.3,2489,1010,,Private,Semester,City,http://www.strose.edu
Mercy College of Health Sciences,,IA,Des Moines,https://www.usnews.com/dims4/USNEWS/91f0c7a/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fea%2Fe697c26cb8db1a97ef35b5df61ff34%2Fcollege-photo_33666.jpg,Unranked,18,,98,18150,3.1,727,,,Private,Semester,Urban,https://www.mchs.edu/
University of California--Davis,UC Davis University of California Davis,CA,Davis,https://www.usnews.com/dims4/USNEWS/ac2f008/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F0c%2Fec8a2b1ae32ba1d7937497c0fea02e%2Fcollege-photo_35047.jpg,#39,25,6,41,43484,,30872,1150,49068,Private,Semester,Rural,http://www.bridgewater.edu
Augsburg University,,MN,Minneapolis,https://www.usnews.com/dims4/USNEWS/86e64ce/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F36%2Fb71c2b4403f67d5007e529306c13a6%2Fcollege-photo_37288.jpg,#13,19,,41,39945,3.2,2343,1173,,Private,Semester,Urban,http://www.augsburg.edu
Hanover College,,IN,Hanover,,#105,22,78,79,38750,3.6,1104,1040,23425,Private,4/4/2001,Rural,http://www.hanover.edu
Oklahoma State University Institute of Technology--Okmulgee,OSU Oklahoma State University Institute of Technology Okmulgee,OK,Okmulgee,https://www.usnews.com/dims4/USNEWS/a5b4971/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fb7%2F6da610d08ea1d75af887d19a5680c0%2Fcollege-photo_21786.jpg,#23,16,,31,11160,3.1,2403,,,Public,Trimester,Suburban,//osuit.edu/admissions
University of Maryland--Baltimore,University of Maryland Baltimore,MD,Baltimore,,Unranked,,,,40013,,909,,,Public,Semester,Urban,http://www.umaryland.edu/
Indiana Wesleyan University--Marion,,IN,Marion,https://www.usnews.com/dims4/USNEWS/846d6dc/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F77%2Faa4909912b3860e03ea1b1cc56deff%2Fcollege-photo_12215.jpg,#25,21,,68,25980,3.6,2853,1030,,Private,Semester,City,http://www.indwes.edu
DePauw University,,IN,Greencastle,https://www.usnews.com/dims4/USNEWS/0eed878/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F63%2F2e3b488382c82dbaca497cf60f4f30%2Fcollege-photo_34584.jpg,#46,23,58,63,51146,3.8,2156,1120,25874,Private,4/1/2004,Rural,http://www.depauw.edu
Bellevue College,,WA,Bellevue,,Unranked,,,,,,,,,Public,N/A,N/A,//www.bellevuecollege.edu
Saint Martin's University,St Martin's University Saint Martin's University St Martins University Saint Martins University St. Martins University,WA,Lacey,https://www.usnews.com/dims4/USNEWS/33e50f1/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F59%2F1a941e2ef5386036cec21c703cb157%2Fcollege-photo_7597.jpg,#27,18,74,95,38560,3.4,1344,1020,27214,Private,Semester,Suburban,https://www.stmartin.edu
Cottey College,,MO,Nevada,,#2,19,76,97,21750,3.3,277,1000,14631,Private,Semester,Rural,//www.cottey.edu
Saint Vincent College,St Vincent College Saint Vincent College,PA,Latrobe,https://www.usnews.com/dims4/USNEWS/5df1138/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Ff5%2F4deda743f8f1bb5f311b22f36f12fc%2Fcollege-photo_27903.jpg,#132,18,,68,36914,3.5,1676,1030,,Private,Semester,Suburban,http://www.stvincent.edu
Sitting Bull College,,ND,Fort Yates,,Unranked,,,,,,,,,Public,N/A,N/A,//www.sittingbull.edu/
Bastyr University,,WA,Kenmore,https://www.usnews.com/dims4/USNEWS/c889f66/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Faf%2F26776e51e6b204272c5aca1d50d3d5%2Fcollege-photo_11827.jpg,Unranked,,,,,,,,,Private,N/A,N/A,//www.bastyr.edu
National University of Natural Medicine,,OR,Portland,,Unranked,,,,,,,,,Private,N/A,N/A,hi
Curry College,,MA,Milton,https://www.usnews.com/dims4/USNEWS/6af78bd/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fd1%2Feb6cb2a8520e95b995618986fd8b2a%2Fcollege-photo_3036.jpg,#129-#170,17,,93,40870,3,2356,940,,Private,Semester,Suburban,http://www.curry.edu
Warner University,,FL,Lake Wales,,#58,16,,35,22850,3.2,910,880,,Private,Semester,Rural,http://www.warner.edu
Washington and Jefferson College,,PA,Washington,https://www.usnews.com/dims4/USNEWS/c4054af/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F9c%2F0e98fa0d488ffb0d2a2b1079bd5a96%2Fcollege-photo_28147.jpg,#92,23,79,48,49338,3.7,1356,1130,28012,Private,4/1/2004,Suburban,http://www.washjeff.edu
Ohio Dominican University,,OH,Columbus,https://www.usnews.com/dims4/USNEWS/e966d5b/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F6a%2Fec6ab3637263e62dc8400351b57725%2Fcollege-photo_20301.jpg,#84,19,,75,31680,3.3,1188,920,,Private,Semester,Urban,http://www.ohiodominican.edu
Alpena Community College,,MI,Alpena,,Unranked,,,,,,,,,Public,N/A,N/A,https://www.lakemichigancollege.edu
Concordia University,,OR,Portland,,Unranked,,,,,,,,,Private,Semester,N/A,http://www.cu-portland.edu
Adventist University of Health Sciences,,FL,Orlando,,Unranked,,,,,,,,,Private,N/A,N/A,//www.fhchs.edu/
Jewish Theological Seminary of America,,NY,New York,,Unranked,,,,,,,,,Private,N/A,N/A,//www.jtsa.edu
Holy Names University,,CA,Oakland,https://www.usnews.com/dims4/USNEWS/3e638dc/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fda%2F3346e46179426739365f77ce1b99b8%2Fcollege-photo_37007.jpg,#62,17,,70,40102,,629,713,,Private,Semester,Urban,http://www.hnu.edu
Jacksonville State University,,AL,Jacksonville,https://www.usnews.com/dims4/USNEWS/d13e318/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F3d%2F58a21b754e513d1e8f8d3cbe5566e5%2Fcollege-photo_26027.jpg,#72,19,,54,20424,3.5,7321,910,,Public,Semester,Rural,http://www.jsu.edu
Bethel University,,IN,Mishawaka,,#30,19,,92,29170,3.4,1285,970,,Private,Semester,City,http://www.betheluniversity.edu
Lyon College,,AR,Batesville,https://www.usnews.com/dims4/USNEWS/92d3e59/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fa5%2Fa1e938f209bedfb52663ab7d438fa3%2Fcollege-photo_34285.jpg,#164-#215,21,,50,29140,3.5,676,1040,,Private,Semester,City,http://www.lyon.edu
Mount Saint Mary's University,Mount St Mary  Mount St Marys College Mount Saint Mary  Mount Saint Marys College Mount St. Marys College,CA,Los Angeles,https://www.usnews.com/dims4/USNEWS/e6acfce/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F36%2Fbcba90340c8a64640740da9148a39f%2Fcollege-photo_8400.jpg,#14,17,86,84,42784,3.4,2357,930,36603,Private,Semester,Urban,http://www.msmu.edu
Sullivan University,,KY,Louisville,,Unranked,,,,,,,,,Private,N/A,N/A,//www.sullivan.edu
